Measurements taken in (mm) and gauss (G)

Start Place:
from top:left outside corner, positive is to the right and towards the interior
Arrangment A, white thingy
x,y,gauss
0,0,900
0,5,1700
0,10,2100
0,15,1800
0,5,3000
5,5,7000
5,10,8000
5,15,8200
10,0,4000
10,5,8300
10,10,9200
10,15,9200
15,0,2600
15,5,7300
15,10,9000
15,15,9000
20,0,3300
20,5,7900
20,10,9100
20,15,9100
25,0,2900
25,5,6600
25,10,7300
25,15,7700
30,0,1200
30,5,1900
30,10,2400
30,15,3000
35,0,260
35,5,340
35,10,400
35,15,420
40,0,60
40,5,100
40,10,120
40,15,150
-5,0,250
-5,5,360
-5,10,540
-5,15,430
-10,0,90
-10,5,130
-10,10,130
-10,15,110
-15,0,20
-15,5,30
-15,10,30
-15,15,30
-15,-5,9
-10,-5,52
-5,-5,140
0,-5,410
5,-5,710
10,-5,860
15,-5,810
20,-5,910
25,-5,790
30,-5,550
35,-5,150
40,-5,59
45,-5,7
40,-10,4
35,-10,40
30,-10,70
25,-10,150
20,-10,200
15,-10,230
10,-10,200
5,-10,160
0,-10,100
-5,-10,25
-10,-10,11
-5,-15,20
0,-15,36
5,-15,56
10,-15,65
15,-15,74
20,-15,62
25,-15,50
30,-15,33
35,-15,14
40,-15,4
